volume,catalyst,initial,radiation,degradation
0.1,0.296,0.9,0.1,0.159
0.1,0.296,0.9,0.18,0.210
0.1,0.296,0.9,0.26,0.284
0.1,0.296,0.9,0.34,0.356
0.1,0.296,0.9,0.42,0.447
0.1,0.296,0.9,0.5,0.490
0.1,0.296,0.9,0.58,0.517
0.1,0.296,0.9,0.66,0.528
0.1,0.296,0.9,0.74,0.606
0.1,0.296,0.9,0.82,0.659
0.1,0.296,0.9,0.9,0.784
0.5,0.296,0.9,0.1,0.208
0.5,0.296,0.9,0.18,0.276
0.5,0.296,0.9,0.26,0.330
0.5,0.296,0.9,0.34,0.397
0.5,0.296,0.9,0.42,0.459
0.5,0.296,0.9,0.5,0.522
0.5,0.296,0.9,0.58,0.603
0.5,0.296,0.9,0.66,0.656
0.5,0.296,0.9,0.74,0.726
0.5,0.296,0.9,0.82,0.818
0.5,0.296,0.9,0.9,0.9
0.9,0.296,0.9,0.1,0.123
0.9,0.296,0.9,0.18,0.220
0.9,0.296,0.9,0.26,0.286
0.9,0.296,0.9,0.34,0.369
0.9,0.296,0.9,0.42,0.432
0.9,0.296,0.9,0.5,0.471
0.9,0.296,0.9,0.58,0.463
0.9,0.296,0.9,0.66,0.546
0.9,0.296,0.9,0.74,0.589
0.9,0.296,0.9,0.82,0.653
0.9,0.296,0.9,0.9,0.738
0.5,0.096,0.9,0.1,0.175
0.5,0.096,0.9,0.18,0.258
0.5,0.096,0.9,0.26,0.297
0.5,0.096,0.9,0.34,0.362
0.5,0.096,0.9,0.42,0.461
0.5,0.096,0.9,0.5,0.570
0.5,0.096,0.9,0.58,0.646
0.5,0.096,0.9,0.66,0.674
0.5,0.096,0.9,0.74,0.709
0.5,0.096,0.9,0.82,0.753
0.5,0.096,0.9,0.9,0.842
0.5,0.496,0.9,0.1,0.198
0.5,0.496,0.9,0.18,0.272
0.5,0.496,0.9,0.26,0.352
0.5,0.496,0.9,0.34,0.444
0.5,0.496,0.9,0.42,0.509
0.5,0.496,0.9,0.5,0.587
0.5,0.496,0.9,0.58,0.654
0.5,0.496,0.9,0.66,0.702
0.5,0.496,0.9,0.74,0.734
0.5,0.496,0.9,0.82,0.766
0.5,0.496,0.9,0.9,0.830
0.5,0.696,0.9,0.1,0.153
0.5,0.696,0.9,0.18,0.210
0.5,0.696,0.9,0.26,0.292
0.5,0.696,0.9,0.34,0.374
0.5,0.696,0.9,0.42,0.460
0.5,0.696,0.9,0.5,0.519
0.5,0.696,0.9,0.58,0.531
0.5,0.696,0.9,0.66,0.594
0.5,0.696,0.9,0.74,0.658
0.5,0.696,0.9,0.82,0.703
0.5,0.696,0.9,0.9,0.784
0.5,0.296,0.1,0.1,0.129
0.5,0.296,0.1,0.18,0.194
0.5,0.296,0.1,0.26,0.228
0.5,0.296,0.1,0.34,0.308
0.5,0.296,0.1,0.42,0.341
0.5,0.296,0.1,0.5,0.383
0.5,0.296,0.1,0.58,0.436
0.5,0.296,0.1,0.66,0.463
0.5,0.296,0.1,0.74,0.527
0.5,0.296,0.1,0.82,0.626
0.5,0.296,0.1,0.9,0.784
0.5,0.296,0.5,0.1,0.1
0.5,0.296,0.5,0.18,0.156
0.5,0.296,0.5,0.26,0.223
0.5,0.296,0.5,0.34,0.273
0.5,0.296,0.5,0.42,0.362
0.5,0.296,0.5,0.5,0.378
0.5,0.296,0.5,0.58,0.477
0.5,0.296,0.5,0.66,0.561
0.5,0.296,0.5,0.74,0.621
0.5,0.296,0.5,0.82,0.691
0.5,0.296,0.5,0.9,0.772
