volume,catalyst,initial,radiation,degradation
0.5,0.01,40,30,11.1
0.5,0.01,40,45,15.5
0.5,0.01,40,60,21.9
0.5,0.01,40,75,28.12
0.5,0.01,40,90,35.9
0.5,0.01,40,105,39.6
0.5,0.01,40,120,42
0.5,0.01,40,135,42.9
0.5,0.01,40,150,49.6
0.5,0.01,40,165,54.22
0.5,0.01,40,180,65
1,0.01,40,30,15.32
1,0.01,40,45,21.2
1,0.01,40,60,25.8
1,0.01,40,75,31.62
1,0.01,40,90,37
1,0.01,40,105,42.4
1,0.01,40,120,49.4
1,0.01,40,135,53.97
1,0.01,40,150,60
1,0.01,40,165,67.95
1,0.01,40,180,75
1.5,0.01,40,30,8
1.5,0.01,40,45,16.37
1.5,0.01,40,60,22
1.5,0.01,40,75,29.2
1.5,0.01,40,90,34.67
1.5,0.01,40,105,37.97
1.5,0.01,40,120,37.27
1.5,0.01,40,135,44.5
1.5,0.01,40,150,48.17
1.5,0.01,40,165,53.72
1.5,0.01,40,180,61
1,0.005,40,30,12.47
1,0.005,40,45,19.65
1,0.005,40,60,22.97
1,0.005,40,75,28.62
1,0.005,40,90,37.17
1,0.005,40,105,46.57
1,0.005,40,120,53.12
1,0.005,40,135,55.47
1,0.005,40,150,58.55
1,0.005,40,165,62.35
1,0.005,40,180,70
1,0.015,40,30,14.42
1,0.015,40,45,20.82
1,0.015,40,60,27.72
1,0.015,40,75,35.67
1,0.015,40,90,41.3
1,0.015,40,105,47.97
1,0.015,40,120,53.82
1,0.015,40,135,57.92
1,0.015,40,150,60.72
1,0.015,40,165,63.42
1,0.015,40,180,69
1,0.02,40,30,10.6
1,0.02,40,45,15.47
1,0.02,40,60,22.57
1,0.02,40,75,29.65
1,0.02,40,90,37.07
1,0.02,40,105,42.15
1,0.02,40,120,43.17
1,0.02,40,135,48.6
1,0.02,40,150,54.15
1,0.02,40,165,57.97
1,0.02,40,180,65
1,0.01,20,30,8.5
1,0.01,20,45,14.1
1,0.01,20,60,17
1,0.01,20,75,23.95
1,0.01,20,90,26.75
1,0.01,20,105,30.45
1,0.01,20,120,34.95
1,0.01,20,135,37.3
1,0.01,20,150,42.85
1,0.01,20,165,51.35
1,0.01,20,180,65
1,0.01,30,30,6
1,0.01,30,45,10.86
1,0.01,30,60,16.63
1,0.01,30,75,20.96
1,0.01,30,90,28.6
1,0.01,30,105,30.01
1,0.01,30,120,38.53
1,0.01,30,135,45.73
1,0.01,30,150,50.9
1,0.01,30,165,56.96
1,0.01,30,180,64
